Season,city,team1,team2,toss_winner,toss_decision,result,winner,player_of_match,venue,umpire1,umpire2
IPL,Cuttack,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,normal,Kings XI Punjab,GJ Maxwell,Barabati Stadium,HDPK Dharmasena,PG Pathak
IPL,Ahmedabad,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,normal,Sunrisers Hyderabad,B Kumar,"Sardar Patel Stadium, Motera",AK Chaudhary,NJ Llong
IPL,Bangalore,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,Kings XI Punjab,Sandeep Sharma,M Chinnaswamy Stadium,S Ravi,K Srinath
IPL,Delhi,Delhi Daredevils,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,Sunrisers Hyderabad,DW Steyn,Feroz Shah Kotla,RM Deshpande,BNJ Oxenford
IPL,Mumbai,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,normal,Chennai Super Kings,DR Smith,Wankhede Stadium,HDPK Dharmasena,VA Kulkarni
IPL,Cuttack,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Kolkata Knight Riders,G Gambhir,Barabati Stadium,NJ Llong,CK Nandan
IPL,Bangalore,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,normal,Rajasthan Royals,JP Faulkner,M Chinnaswamy Stadium,S Ravi,RJ Tucker
IPL,Hyderabad,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,bat,normal,Mumbai Indians,AT Rayudu,"Rajiv Gandhi International Stadium, Uppal",HDPK Dharmasena,VA Kulkarni
IPL,Ranchi,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,normal,Chennai Super Kings,RA Jadeja,JSCA International Stadium Complex,BNJ Oxenford,C Shamshuddin
IPL,Bangalore,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,field,normal,Royal Challengers Bangalore,Yuvraj Singh,M Chinnaswamy Stadium,K Srinath,RJ Tucker
IPL,Hyderabad,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,normal,Kings XI Punjab,WP Saha,"Rajiv Gandhi International Stadium, Uppal",VA Kulkarni,PG Pathak
IPL,Cuttack,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Kolkata Knight Riders,RV Uthappa,Barabati Stadium,AK Chaudhary,NJ Llong
IPL,Ahmedabad,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,field,normal,Rajasthan Royals,AM Rahane,"Sardar Patel Stadium, Motera",S Ravi,RJ Tucker
IPL,Ranchi,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,normal,Royal Challengers Bangalore,AB de Villiers,JSCA International Stadium Complex,BNJ Oxenford,C Shamshuddin
IPL,Hyderabad,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,normal,Kolkata Knight Riders,UT Yadav,"Rajiv Gandhi International Stadium, Uppal",NJ Llong,CK Nandan
IPL,Ahmedabad,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,normal,Mumbai Indians,MEK Hussey,"Sardar Patel Stadium, Motera",S Ravi,RJ Tucker
