Season,city,team1,team2,toss_winner,toss_decision,result,winner,player_of_match,venue,umpire1,umpire2
IPL,Indore,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,Royal Challengers Bangalore,UT Yadav,Holkar Cricket Stadium,Bruce Oxenford,Virender Kumar Sharma
IPL,Kolkata,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Kolkata Knight Riders,Kuldeep Yadav,Eden Gardens,Kumar Dharmasena,Anil Chaudhary
IPL,Mumbai,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,field,normal,Mumbai Indians,JJ Bumrah,Wankhede Stadium,Marais Erasmus,Nitin Menon
IPL,Bengaluru,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,Royal Challengers Bangalore,AB de Villiers,M Chinnaswamy Stadium,S Ravi,Anil Dandekar
IPL,Delhi,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,normal,Delhi Daredevils,HV Patel,Feroz Shah Kotla,Kumar Dharmasena,Vineet Kulkarni
IPL,Jaipur,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,bat,normal,Rajasthan Royals,S Gopal,Sawai Mansingh Stadium,Bruce Oxenford,Virender Kumar Sharma
IPL,Hyderabad,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,normal,Kolkata Knight Riders,CA Lynn,"Rajiv Gandhi International Stadium, Uppal",Anil Chaudhary,S Ravi
IPL,Delhi,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,bat,normal,Delhi Daredevils,A Mishra,Feroz Shah Kotla,Kumar Dharmasena,O Nandan
IPL,Pune,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,normal,Chennai Super Kings,L Ngidi,Maharashtra Cricket Association Stadium,Nitin Menon,Yeshwant Barde
IPL,Mumbai,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,field,normal,Chennai Super Kings,F du Plessis,Wankhede Stadium,Marais Erasmus,C Shamshuddin
IPL,Kolkata,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,normal,Kolkata Knight Riders,AD Russell,Eden Gardens,Nitin Menon,Anil Chaudhary
IPL,Kolkata,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Sunrisers Hyderabad,Rashid Khan,Eden Gardens,Nitin Menon,Kumar Dharmasena
IPL,Mumbai,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,field,normal,Chennai Super Kings,SR Watson,Wankhede Stadium,Marais Erasmus,S Ravi
IPL,Chennai,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,normal,Chennai Super Kings,Harbhajan Singh,M. A. Chidambaram Stadium,Bruce Oxenford,Anil Dandekar
IPL,Kolkata,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Kolkata Knight Riders,AD Russell,Eden Gardens,Chris Gaffaney,Anil Chaudhary
IPL,Mumbai,Delhi Capitals,Mumbai Indians,Mumbai Indians,field,normal,Delhi Capitals,RR Pant,Wankhede Stadium,S Ravi,Yeshwant Barde
IPL,Jaipur,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,normal,Kings XI Punjab,CH Gayle,Sawai Mansingh Stadium,C Shamshuddin,KN Anantapadmanabhan
IPL,Delhi,Delhi Capitals,Chennai Super Kings,Delhi Capitals,bat,normal,Chennai Super Kings,SR Watson,Feroz Shah Kotla Ground,Marais Erasmus,Nitin Menon
IPL,Kolkata,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,field,normal,Kolkata Knight Riders,AD Russell,Eden Gardens,Anil Chaudhary,Vineet Kulkarni
IPL,Bengaluru,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,Mumbai Indians,JJ Bumrah,M. Chinnaswamy Stadium,S Ravi,O Nandan
IPL,Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,bat,normal,Sunrisers Hyderabad,Rashid Khan,Rajiv Gandhi Intl. Cricket Stadium,Bruce Oxenford,C Shamshuddin
IPL,Mohali,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,field,normal,Kings XI Punjab,MA Agarwal,IS Bindra Stadium,Vineet Kulkarni,Chris Gaffaney
IPL,Delhi,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,tie,Delhi Capitals,P Shaw,Feroz Shah Kotla Ground,Anil Dandekar,Nitin Menon
IPL,Hyderabad,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,Sunrisers Hyderabad,J Bairstow,Rajiv Gandhi Intl. Cricket Stadium,S Ravi,KN Anantapadmanabhan
IPL,Chennai,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,normal,Chennai Super Kings,MS Dhoni,M. A. Chidambaram Stadium,O Nandan,Yeshwant Barde
IPL,Mohali,Kings XI Punjab,Delhi Capitals,Delhi Capitals,field,normal,Kings XI Punjab,S Curran,IS Bindra Stadium,Anil Chaudhary,Chris Gaffaney
IPL,Jaipur,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,normal,Rajasthan Royals,S Gopal,Sawai Mansingh Stadium,Marais Erasmus,Anil Dandekar
IPL,Mumbai,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,normal,Mumbai Indians,HH Pandya,Wankhede Stadium,Bruce Oxenford,Rod Tucker
IPL,Delhi,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,Sunrisers Hyderabad,J Bairstow,Feroz Shah Kotla Ground,C Shamshuddin,KN Anantapadmanabhan
IPL,Bengaluru,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Kolkata Knight Riders,AD Russell,M. Chinnaswamy Stadium,Anil Chaudhary,Chris Gaffaney
IPL,Chennai,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,normal,Chennai Super Kings,Harbhajan Singh,M. A. Chidambaram Stadium,KN Ananthapadmanabhan,Rod Tucker
IPL,Hyderabad,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,Mumbai Indians,A Joseph,Rajiv Gandhi Intl. Cricket Stadium,Anil Dandekar,Nitin Menon
IPL,Bengaluru,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,field,normal,Delhi Capitals,K Rabada,M. Chinnaswamy Stadium,S Ravi,Yeshwant Barde
IPL,Jaipur,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Kolkata Knight Riders,H Gurney,Sawai Mansingh Stadium,Chris Gaffaney,Anil Chaudhary
IPL,Mohali,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,normal,Kings XI Punjab,KL Rahul,IS Bindra Stadium,Marais Erasmus,Anil Dandekar
IPL,Chennai,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,field,normal,Chennai Super Kings,DL Chahar,M. A. Chidambaram Stadium,Rod Tucker,C Shamshuddin
IPL,Mumbai,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,normal,Mumbai Indians,KA Pollard,Wankhede Stadium,Yeshwant Barde,S Ravi
IPL,Jaipur,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,normal,Chennai Super Kings,MS Dhoni,Sawai Mansingh Stadium,Bruce Oxenford,Ulhas Gandhe
IPL,Kolkata,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,normal,Delhi Capitals,S Dhawan,Eden Gardens,Yeshwant Barde,O Nandan
IPL,Mumbai,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,normal,Rajasthan Royals,JC Buttler,Wankhede Stadium,Nitin Menon,Nanda Kishore
IPL,Mohali,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,Royal Challengers Bangalore,AB de Villiers,IS Bindra Stadium,S Ravi,Ulhas Gandhe
IPL,Kolkata,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,field,normal,Chennai Super Kings,Imran Tahir,Eden Gardens,Rod Tucker,O Nandan
IPL,Hyderabad,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,Delhi Capitals,K Paul,Rajiv Gandhi Intl. Cricket Stadium,Anil Chaudhary,Bruce Oxenford
IPL,Mumbai,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,normal,Mumbai Indians,SL Malinga,Wankhede Stadium,Marais Erasmus,Nitin Menon
IPL,Mohali,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,normal,Kings XI Punjab,R Ashwin,IS Bindra Stadium,Anil Chaudhary,Vineet Kulkarni
IPL,Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,bat,normal,Sunrisers Hyderabad,DA Warner,Rajiv Gandhi Intl. Cricket Stadium,Ian Gould,Ulhas Gandhe
IPL,Delhi,Mumbai Indians,Delhi Capitals,Mumbai Indians,bat,normal,Mumbai Indians,HH Pandya,Feroz Shah Kotla Ground,Nigel Llong,Bruce Oxenford
IPL,Kolkata,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Royal Challengers Bangalore,V Kohli,Eden Gardens,Ian Gould,Nitin Menon
IPL,Jaipur,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,normal,Rajasthan Royals,SPD Smith,Sawai Mansingh Stadium,S Ravi,Yeshwant Barde
IPL,Delhi,Kings XI Punjab,Delhi Capitals,Delhi Capitals,field,normal,Delhi Capitals,SS Iyer,Feroz Shah Kotla Ground,Ulhas Gandhe,C Shamshuddin
IPL,Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,Sunrisers Hyderabad,K Ahmed,Rajiv Gandhi Intl. Cricket Stadium,Nitin Menon,Nigel Llong
IPL,Bengaluru,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,normal,Royal Challengers Bangalore,PA Patel,M. Chinnaswamy Stadium,Vineet Kulkarni,Rod Tucker
IPL,Jaipur,Rajasthan Royals,Delhi Capitals,Delhi Capitals,field,normal,Delhi Capitals,RR Pant,Sawai Mansingh Stadium,S Ravi,Nanda Kishore
IPL,Chennai,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,field,normal,Chennai Super Kings,SR Watson,M. A. Chidambaram Stadium,Nigel Llong,Anil Chaudhary
IPL,Bengaluru,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,normal,Royal Challengers Bangalore,AB de Villiers,M. Chinnaswamy Stadium,Bruce Oxenford,C Shamshuddin
IPL,Kolkata,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,normal,Rajasthan Royals,VR Aaron,Eden Gardens,Ian Gould,Anil Dandekar
IPL,Chennai,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,normal,Mumbai Indians,RG Sharma,M. A. Chidambaram Stadium,Nigel Llong,Anil Chaudhary
IPL,Jaipur,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,normal,Rajasthan Royals,JD Unadkat,Sawai Mansingh Stadium,Yeshwant Barde,Nand Kishore
IPL,Delhi,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,bat,normal,Delhi Capitals,S Dhawan,Feroz Shah Kotla Ground,Bruce Oxenford,KN Ananthapadmanabhan
IPL,Kolkata,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,normal,Kolkata Knight Riders,AD Russell,Eden Gardens,Ian Gould,Nitin Menon
IPL,Hyderabad,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,normal,Sunrisers Hyderabad,DA Warner,Rajiv Gandhi Intl. Cricket Stadium,S Ravi,O Nandan
IPL,Bengaluru,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,no result,,,M. Chinnaswamy Stadium,Nigel Llong,Ulhas Gandhe
IPL,Chennai,Chennai Super Kings,Delhi Capitals,Delhi Capitals,field,normal,Chennai Super Kings,MS Dhoni,M. A. Chidambaram Stadium,Anil Dandekar,Nitin Menon
IPL,Mumbai,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,tie,Mumbai Indians,JJ Bumrah,Wankhede Stadium,S Ravi,O Nandan
IPL,Mohali,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Kolkata Knight Riders,S Gill,IS Bindra Stadium,Bruce Oxenford,C Shamshuddin
IPL,Delhi,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,normal,Delhi Capitals,A Mishra,Feroz Shah Kotla Ground,Ian Gould,Anil Dandekar
IPL,Bengaluru,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,Royal Challengers Bangalore,S Hetmyer,M. Chinnaswamy Stadium,Nigel Llong,Anil Chaudhary
IPL,Mohali,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,field,normal,Kings XI Punjab,KL Rahul,IS Bindra Stadium,KN Ananthapadmanabhan,C Shamshuddin
IPL,Mumbai,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,normal,Mumbai Indians,HH Pandya,Wankhede Stadium,Nanda Kishore,O Nandan
IPL,Chennai,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,normal,Mumbai Indians,AS Yadav,M. A. Chidambaram Stadium,Nigel Llong,Nitin Menon
IPL,Visakhapatnam,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,field,normal,Delhi Capitals,RR Pant,ACA-VDCA Stadium,,
IPL,Visakhapatnam,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,field,normal,Chennai Super Kings,F du Plessis,ACA-VDCA Stadium,Sundaram Ravi,Bruce Oxenford
IPL,Hyderabad,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,normal,Mumbai Indians,JJ Bumrah,Rajiv Gandhi Intl. Cricket Stadium,Nitin Menon,Ian Gould
